SaleMonth;Time;Censored;Costs;Events
1;1;0;0;0
1;2;0;0;0
1;3;0;864;1
1;4;0;767;0
1;5;0;720;2
1;6;0;1294;1
1;7;0;784;1
1;8;0;738;1
1;9;0;998;1
1;10;0;853;1
1;11;0;0;0
1;12;0;1773;2
1;13;0;761;1
1;14;0;0;0
1;15;0;1041;1
1;16;0;2824;2
1;17;0;0;0
1;18;0;818;1
1;19;0;0;0
1;20;0;0;0
1;21;0;1206;1
1;22;0;603;1
1;23;0;769;1
1;24;0;0;0
1;25;0;1255;2
1;26;0;1548;2
1;27;0;1240;2
1;28;0;0;0
1;29;0;0;0
1;30;0;568;1
1;31;0;0;0
1;32;0;0;0
1;33;0;0;0
1;34;0;572;1
1;35;0;0;0
1;36;0;611;1
1;37;0;577;1
1;38;3834;0;0
2;1;0;1643;2
2;2;0;1896;2
2;3;0;0;0
2;4;0;0;0
2;5;0;1730;2
2;6;0;1485;2
2;7;0;0;0
2;8;0;761;1
2;9;0;1548;2
2;10;0;0;0
2;11;0;738;1
2;12;0;1484;2
2;13;0;768;1
2;14;0;1632;2
2;15;0;0;0
2;16;0;880;1
2;17;0;2452;3
2;18;0;1169;1
2;19;0;1581;2
2;20;0;0;0
2;21;0;2390;3
2;22;0;0;0
2;23;0;595;1
2;24;0;0;0
2;25;0;1609;3
2;26;0;729;1
2;27;0;581;1
2;28;0;0;0
2;29;0;661;1
2;30;0;613;1
2;31;0;548;1
2;32;0;0;0
2;33;0;1173;2
2;34;0;3218;4
2;35;0;597;2
2;36;0;569;1
2;37;4486;0;0
3;1;0;1911;2
3;2;0;0;0
3;3;0;0;0
3;4;0;725;1
3;5;0;1096;1
3;6;0;2444;3
3;7;0;1287;1
3;8;0;0;0
3;9;0;0;0
3;10;0;804;1
3;11;0;625;1
3;12;0;0;0
3;13;0;1854;2
3;14;0;0;0
3;15;0;0;0
3;16;0;0;0
3;17;0;1177;1
3;18;0;840;1
3;19;0;624;1
3;20;0;0;0
3;21;0;565;1
3;22;0;624;1
3;23;0;0;0
3;24;0;0;0
3;25;0;0;0
3;26;0;0;0
3;27;0;563;1
3;28;0;0;0
3;29;0;0;0
3;30;0;0;0
3;31;0;0;0
3;32;0;0;0
3;33;0;596;1
3;34;0;0;0
3;35;0;646;1
3;36;4085;624;1
4;1;0;0;0
4;2;0;0;0
4;3;0;0;0
4;4;0;730;1
4;5;0;0;0
4;6;0;0;0
4;7;0;0;0
4;8;0;828;1
4;9;0;0;0
4;10;0;0;0
4;11;0;779;1
4;12;0;800;1
4;13;0;0;0
4;14;0;0;0
4;15;0;0;0
4;16;0;0;0
4;17;0;0;0
4;18;0;0;0
4;19;0;0;0
4;20;0;656;1
4;21;0;1373;2
4;22;0;0;0
4;23;0;0;0
4;24;0;563;1
4;25;0;0;0
4;26;0;610;1
4;27;0;0;0
4;28;0;0;0
4;29;0;0;0
4;30;0;0;0
4;31;0;558;1
4;32;0;0;0
4;33;0;0;0
4;34;0;0;0
4;35;3599;0;0
5;1;0;1669;2
5;2;0;0;0
5;3;0;765;1
5;4;0;0;0
5;5;0;0;0
5;6;0;0;0
5;7;0;0;0
5;8;0;0;0
5;9;0;0;0
5;10;0;949;1
5;11;0;0;0
5;12;0;0;0
5;13;0;1420;1
5;14;0;0;0
5;15;0;0;0
5;16;0;0;0
5;17;0;0;0
5;18;0;0;0
5;19;0;0;0
5;20;0;639;1
5;21;0;0;0
5;22;0;0;0
5;23;0;0;0
5;24;0;0;0
5;25;0;0;0
5;26;0;0;0
5;27;0;0;0
5;28;0;0;1
5;29;0;618;1
5;30;0;0;0
5;31;0;467;0
5;32;0;0;0
5;33;0;0;0
5;34;3289;0;0
6;1;0;0;0
6;2;0;0;0
6;3;0;0;0
6;4;0;0;0
6;5;0;0;0
6;6;0;0;0
6;7;0;0;0
6;8;0;786;1
6;9;0;0;0
6;10;0;0;0
6;11;0;0;0
6;12;0;746;1
6;13;0;0;0
6;14;0;0;0
6;15;0;0;0
6;16;0;0;0
6;17;0;0;0
6;18;0;0;0
6;19;0;0;0
6;20;0;2628;2
6;21;0;0;0
6;22;0;578;1
6;23;0;0;0
6;24;0;1393;2
6;25;0;0;0
6;26;0;0;0
6;27;0;0;0
6;28;0;0;0
6;29;0;0;0
6;30;0;0;0
6;31;0;0;0
6;32;0;1930;3
6;33;4157;0;0
7;1;0;0;0
7;2;0;0;0
7;3;0;0;0
7;4;0;0;0
7;5;0;0;0
7;6;0;0;0
7;7;0;0;0
7;8;0;0;0
7;9;0;0;0
7;10;0;857;1
7;11;0;0;0
7;12;0;0;0
7;13;0;0;0
7;14;0;0;0
7;15;0;0;0
7;16;0;0;0
7;17;0;0;0
7;18;0;916;1
7;19;0;0;0
7;20;0;0;0
7;21;0;0;0
7;22;0;0;0
7;23;0;0;0
7;24;0;0;0
7;25;0;0;0
7;26;0;0;0
7;27;0;0;0
7;28;0;0;0
7;29;0;2106;3
7;30;0;0;0
7;31;0;0;0
7;32;3879;0;0
8;1;0;0;0
8;2;0;1726;2
8;3;0;768;1
8;4;0;0;0
8;5;0;0;0
8;6;0;0;0
8;7;0;856;1
8;8;0;0;0
8;9;0;0;0
8;10;0;829;1
8;11;0;0;0
8;12;0;0;0
8;13;0;0;0
8;14;0;778;0
8;15;0;689;2
8;16;0;620;1
8;17;0;0;0
8;18;0;0;0
8;19;0;0;0
8;20;0;0;0
8;21;0;0;0
8;22;0;0;0
8;23;0;691;1
8;24;0;0;0
8;25;0;0;0
8;26;0;0;0
8;27;0;571;1
8;28;0;0;0
8;29;0;624;1
8;30;0;0;0
8;31;4673;0;0
9;1;0;0;0
9;2;0;0;0
9;3;0;822;1
9;4;0;856;1
9;5;0;0;0
9;6;0;0;0
9;7;0;0;0
9;8;0;1786;2
9;9;0;0;0
9;10;0;0;0
9;11;0;0;0
9;12;0;0;0
9;13;0;0;0
9;14;0;0;0
9;15;0;0;0
9;16;0;0;0
9;17;0;1272;2
9;18;0;0;0
9;19;0;0;0
9;20;0;634;1
9;21;0;0;0
9;22;0;582;1
9;23;0;560;1
9;24;0;1187;2
9;25;0;0;0
9;26;0;1666;3
9;27;0;0;0
9;28;0;1499;2
9;29;0;794;1
9;30;4981;0;0
10;1;0;1000;1
10;2;0;771;1
10;3;0;0;0
10;4;0;0;0
10;5;0;0;0
10;6;0;0;0
10;7;0;810;1
10;8;0;887;1
10;9;0;0;0
10;10;0;0;0
10;11;0;1568;2
10;12;0;0;0
10;13;0;0;0
10;14;0;729;1
10;15;0;662;1
10;16;0;749;1
10;17;0;591;1
10;18;0;559;1
10;19;0;1164;2
10;20;0;550;1
10;21;0;571;1
10;22;0;0;0
10;23;0;0;0
10;24;0;0;0
10;25;0;0;0
10;26;0;559;1
10;27;0;0;0
10;28;0;0;0
10;29;4564;0;0
11;1;0;772;1
11;2;0;0;0
11;3;0;0;0
11;4;0;0;0
11;5;0;1020;1
11;6;0;0;0
11;7;0;868;1
11;8;0;0;0
11;9;0;0;0
11;10;0;0;0
11;11;0;0;0
11;12;0;0;0
11;13;0;1299;2
11;14;0;0;0
11;15;0;0;0
11;16;0;1197;2
11;17;0;0;0
11;18;0;0;0
11;19;0;1117;2
11;20;0;559;1
11;21;0;0;0
11;22;0;640;1
11;23;0;0;0
11;24;0;0;0
11;25;0;578;1
11;26;0;0;0
11;27;0;0;0
11;28;3631;0;0
12;1;0;0;0
12;2;0;0;0
12;3;0;0;0
12;4;0;0;0
12;5;0;878;1
12;6;0;790;1
12;7;0;0;0
12;8;0;0;0
12;9;0;815;1
12;10;0;0;0
12;11;0;0;0
12;12;0;0;0
12;13;0;0;0
12;14;0;602;1
12;15;0;1517;2
12;16;0;2282;3
12;17;0;0;0
12;18;0;0;0
12;19;0;541;0
12;20;0;0;1
12;21;0;571;1
12;22;0;0;0
12;23;0;573;1
12;24;0;591;1
12;25;0;573;1
12;26;0;0;0
12;27;6136;0;0
13;1;0;0;0
13;2;0;0;0
13;3;0;0;0
13;4;0;0;0
13;5;0;0;0
13;6;0;1735;2
13;7;0;760;1
13;8;0;0;0
13;9;0;763;1
13;10;0;0;0
13;11;0;0;0
13;12;0;0;0
13;13;0;1175;2
13;14;0;582;1
13;15;0;829;1
13;16;0;1163;2
13;17;0;0;0
13;18;0;705;1
13;19;0;0;0
13;20;0;554;1
13;21;0;630;1
13;22;0;0;0
13;23;0;0;0
13;24;0;0;0
13;25;0;0;0
13;26;3404;0;0
14;1;0;0;0
14;2;0;0;0
14;3;0;0;0
14;4;0;0;0
14;5;0;0;0
14;6;0;0;0
14;7;0;0;0
14;8;0;0;0
14;9;0;0;0
14;10;0;915;1
14;11;0;0;0
14;12;0;0;0
14;13;0;0;0
14;14;0;0;0
14;15;0;0;0
14;16;0;582;1
14;17;0;0;0
14;18;0;0;0
14;19;0;0;0
14;20;0;0;0
14;21;0;0;0
14;22;0;0;0
14;23;0;0;0
14;24;0;0;0
14;25;491;0;0
15;1;0;0;0
15;2;0;0;0
15;3;0;0;0
15;4;0;0;0
15;5;0;0;0
15;6;0;0;0
15;7;0;819;1
15;8;0;0;0
15;9;0;0;0
15;10;0;0;0
15;11;0;0;0
15;12;0;0;0
15;13;0;556;1
15;14;0;0;0
15;15;0;0;0
15;16;0;0;0
15;17;0;0;0
15;18;0;0;0
15;19;0;0;0
15;20;0;0;0
15;21;0;0;0
15;22;0;0;0
15;23;0;0;0
15;24;81;0;0
